,TEAM,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,index_OPP,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,WIN,GAME_ID
20,Central Michigan ,28,78,21,51,7,27,6,9,17,22,17,7,4,7,9,68,0.0769230769230769,2.4285714285714284,2018,10,21,10,17,3,11,3,4,7,8,6,3,3,3,3,23,0.1818181818181818,3.0,1,Oregon ,34,69,25,43,9,26,6,10,15,28,19,3,11,8,13,83,0.0869565217391304,2.375,11,16,11,16,4,11,2,4,5,10,10,1,6,3,2,23,0.1428571428571428,5.0,,10
21,Oregon ,34,69,25,43,9,26,6,10,15,28,19,3,11,8,13,83,0.0869565217391304,2.375,2018,11,16,11,16,4,11,2,4,5,10,10,1,6,3,2,23,0.1428571428571428,5.0,0,Central Michigan ,28,78,21,51,7,27,6,9,17,22,17,7,4,7,9,68,0.0769230769230769,2.4285714285714284,10,21,10,17,3,11,3,4,7,8,6,3,3,3,3,23,0.1818181818181818,3.0,,10
22,Creighton ,25,58,16,34,9,24,17,25,6,17,16,4,5,7,15,76,0.293103448275862,2.2857142857142856,2018,8,15,6,9,4,10,4,6,2,4,6,2,3,2,3,24,0.3333333333333333,3.0,1,Iowa ,26,56,23,44,3,12,15,17,7,25,17,2,3,14,20,70,0.2678571428571428,1.2142857142857142,12,16,12,16,2,8,5,5,4,13,8,1,1,4,5,29,1.0,8.0,,11
23,Iowa ,26,56,23,44,3,12,15,17,7,25,17,2,3,14,20,70,0.2678571428571428,1.2142857142857142,2018,12,16,12,16,2,8,5,5,4,13,8,1,1,4,5,29,1.0,8.0,0,Creighton ,25,58,16,34,9,24,17,25,6,17,16,4,5,7,15,76,0.293103448275862,2.2857142857142856,8,15,6,9,4,10,4,6,2,4,6,2,3,2,3,24,0.3333333333333333,3.0,,11
24,Creighton ,21,51,10,24,11,27,11,12,5,19,18,1,1,18,21,64,0.2156862745098039,1.0,2018,6,12,2,5,4,8,4,4,1,3,7,1,1,5,5,20,0.3333333333333333,1.4,1,UCLA ,30,62,22,43,8,19,18,23,15,22,15,12,4,10,19,86,0.2903225806451613,1.5,6,12,6,10,3,6,9,10,4,5,8,5,1,2,4,21,1.2857142857142858,4.0,,12
25,UCLA ,30,62,22,43,8,19,18,23,15,22,15,12,4,10,19,86,0.2903225806451613,1.5,2018,6,12,6,10,3,6,9,10,4,5,8,5,1,2,4,21,1.2857142857142858,4.0,0,Creighton ,21,51,10,24,11,27,11,12,5,19,18,1,1,18,21,64,0.2156862745098039,1.0,6,12,2,5,4,8,4,4,1,3,7,1,1,5,5,20,0.3333333333333333,1.4,,12
26,Dayton ,22,57,19,44,3,13,18,23,14,27,5,4,3,19,18,65,0.3157894736842105,0.2631578947368421,2018,5,15,5,12,1,6,8,8,6,7,4,2,2,4,3,19,0.5333333333333333,1.0,1,Marquette ,30,68,18,42,12,26,12,18,14,21,15,11,2,10,20,84,0.1764705882352941,1.5,10,18,7,11,8,12,4,5,5,8,5,5,1,3,4,32,0.3076923076923077,2.5,,13
27,Marquette ,30,68,18,42,12,26,12,18,14,21,15,11,2,10,20,84,0.1764705882352941,1.5,2018,10,18,7,11,8,12,4,5,5,8,5,5,1,3,4,32,0.3076923076923077,2.5,0,Dayton ,22,57,19,44,3,13,18,23,14,27,5,4,3,19,18,65,0.3157894736842105,0.2631578947368421,5,15,5,12,1,6,8,8,6,7,4,2,2,4,3,19,0.5333333333333333,1.0,,13
28,DePaul ,30,67,18,36,12,31,7,9,7,23,24,3,2,6,21,79,0.1044776119402985,4.0,2018,6,14,5,10,3,11,2,2,2,6,7,1,1,2,4,14,0.2857142857142857,7.0,1,Texas A&M ,26,66,19,51,7,15,21,29,17,26,7,4,2,9,9,80,0.3181818181818182,0.7777777777777778,13,30,8,21,7,9,6,7,9,10,3,2,1,3,3,37,1.0,2.0,,14
29,Texas A&M ,26,66,19,51,7,15,21,29,17,26,7,4,2,9,9,80,0.3181818181818182,0.7777777777777778,2018,13,30,8,21,7,9,6,7,9,10,3,2,1,3,3,37,1.0,2.0,0,DePaul ,30,67,18,36,12,31,7,9,7,23,24,3,2,6,21,79,0.1044776119402985,4.0,6,14,5,10,3,11,2,2,2,6,7,1,1,2,4,14,0.2857142857142857,7.0,,14
30,Drake ,33,62,25,38,8,24,2,3,7,20,29,4,2,18,17,76,0.032258064516129,1.6111111111111112,2018,8,17,5,9,3,8,1,2,4,5,10,1,1,3,3,19,0.2,3.333333333333333,1,Texas A&M ,36,68,29,52,7,16,10,11,9,18,19,14,0,10,6,89,0.1470588235294117,1.9,10,18,10,14,4,7,7,8,5,8,11,6,0,3,2,26,0.3888888888888889,5.5,,15
31,Texas A&M ,36,68,29,52,7,16,10,11,9,18,19,14,0,10,6,89,0.1470588235294117,1.9,2018,10,18,10,14,4,7,7,8,5,8,11,6,0,3,2,26,0.3888888888888889,5.5,0,Drake ,33,62,25,38,8,24,2,3,7,20,29,4,2,18,17,76,0.032258064516129,1.6111111111111112,8,17,5,9,3,8,1,2,4,5,10,1,1,3,3,19,0.2,3.333333333333333,,15
32,Duke ,23,60,18,44,5,16,8,10,8,19,12,11,2,10,12,59,0.1333333333333333,1.2,2018,9,17,9,17,2,6,4,6,4,6,4,7,1,4,4,22,0.2352941176470588,4.0,1,Connecticut ,28,62,20,41,8,21,8,16,11,25,18,8,7,11,11,72,0.1290322580645161,1.6363636363636365,7,13,7,12,4,9,4,8,3,8,6,4,2,4,3,16,0.3076923076923077,4.0,,16
33,Connecticut ,28,62,20,41,8,21,8,16,11,25,18,8,7,11,11,72,0.1290322580645161,1.6363636363636365,2018,7,13,7,12,4,9,4,8,3,8,6,4,2,4,3,16,0.3076923076923077,4.0,0,Duke ,23,60,18,44,5,16,8,10,8,19,12,11,2,10,12,59,0.1333333333333333,1.2,9,17,9,17,2,6,4,6,4,6,4,7,1,4,4,22,0.2352941176470588,4.0,,16
34,Duke ,25,50,21,39,4,11,12,15,6,32,10,11,3,21,11,66,0.24,0.4761904761904761,2018,7,12,7,12,1,4,4,4,3,8,6,7,1,5,3,16,0.5,1.2,1,Georgia ,16,68,15,51,1,17,7,14,17,17,8,10,7,16,15,40,0.1029411764705882,0.5,5,13,5,10,0,3,1,4,6,8,3,3,3,4,4,11,0.1111111111111111,2.0,,17
35,Georgia ,16,68,15,51,1,17,7,14,17,17,8,10,7,16,15,40,0.1029411764705882,0.5,2018,5,13,5,10,0,3,1,4,6,8,3,3,3,4,4,11,0.1111111111111111,2.0,0,Duke ,25,50,21,39,4,11,12,15,6,32,10,11,3,21,11,66,0.24,0.4761904761904761,7,12,7,12,1,4,4,4,3,8,6,7,1,5,3,16,0.5,1.2,,17
36,Elon ,12,51,7,35,5,16,6,16,7,23,8,7,3,17,16,35,0.1176470588235294,0.4705882352941176,2018,4,10,1,10,3,4,1,2,1,6,4,2,0,3,4,12,0.2,1.3333333333333333,1,NC State ,22,52,15,35,7,17,11,17,7,34,10,8,5,13,16,62,0.2115384615384615,0.7692307692307693,5,10,3,10,2,6,4,5,3,9,3,2,4,5,3,13,1.5,1.0,,18
37,NC State ,22,52,15,35,7,17,11,17,7,34,10,8,5,13,16,62,0.2115384615384615,0.7692307692307693,2018,5,10,3,10,2,6,4,5,3,9,3,2,4,5,3,13,1.5,1.0,0,Elon ,12,51,7,35,5,16,6,16,7,23,8,7,3,17,16,35,0.1176470588235294,0.4705882352941176,4,10,1,10,3,4,1,2,1,6,4,2,0,3,4,12,0.2,1.3333333333333333,,18
38,Florida Gulf Coast ,25,51,18,34,7,17,23,37,5,21,12,5,0,9,26,80,0.4509803921568627,1.3333333333333333,2018,4,10,4,7,1,3,5,7,3,6,4,1,0,3,5,12,0.8333333333333334,2.0,1,Missouri ,21,52,17,28,4,24,24,28,7,27,13,6,3,15,30,70,0.4615384615384615,0.8666666666666667,10,16,9,11,1,5,14,16,1,8,2,2,3,5,5,35,1.0,1.0,,19
39,Missouri ,21,52,17,28,4,24,24,28,7,27,13,6,3,15,30,70,0.4615384615384615,0.8666666666666667,2018,10,16,9,11,1,5,14,16,1,8,2,2,3,5,5,35,1.0,1.0,0,Florida Gulf Coast ,25,51,18,34,7,17,23,37,5,21,12,5,0,9,26,80,0.4509803921568627,1.3333333333333333,4,10,4,7,1,3,5,7,3,6,4,1,0,3,5,12,0.8333333333333334,2.0,,19
40,Florida Gulf Coast ,24,65,7,18,17,47,5,6,3,10,18,6,1,10,22,70,0.0769230769230769,1.8,2018,3,11,2,4,3,7,2,2,1,3,3,2,1,4,4,10,0.25,1.0,1,Stanford ,31,61,22,44,9,17,19,26,15,36,17,7,7,18,14,90,0.3114754098360656,0.9444444444444444,11,21,7,14,4,7,5,6,4,9,6,3,2,3,3,28,1.25,6.0,,20
41,Stanford ,31,61,22,44,9,17,19,26,15,36,17,7,7,18,14,90,0.3114754098360656,0.9444444444444444,2018,11,21,7,14,4,7,5,6,4,9,6,3,2,3,3,28,1.25,6.0,0,Florida Gulf Coast ,24,65,7,18,17,47,5,6,3,10,18,6,1,10,22,70,0.0769230769230769,1.8,3,11,2,4,3,7,2,2,1,3,3,2,1,4,4,10,0.25,1.0,,20
42,George Washington ,18,66,13,43,5,23,4,6,6,16,8,9,1,10,16,45,0.0606060606060606,0.8,2018,6,14,6,14,1,7,2,4,2,5,2,3,1,4,5,14,0.1666666666666666,0.5,1,Ohio State ,33,59,28,45,5,14,16,21,11,35,20,7,6,14,10,87,0.2711864406779661,1.4285714285714286,9,12,9,12,1,6,4,5,6,7,7,2,4,3,2,22,0.8,3.5,,21
43,Ohio State ,33,59,28,45,5,14,16,21,11,35,20,7,6,14,10,87,0.2711864406779661,1.4285714285714286,2018,9,12,9,12,1,6,4,5,6,7,7,2,4,3,2,22,0.8,3.5,0,George Washington ,18,66,13,43,5,23,4,6,6,16,8,9,1,10,16,45,0.0606060606060606,0.8,6,14,6,14,1,7,2,4,2,5,2,3,1,4,5,14,0.1666666666666666,0.5,,21
44,Gonzaga ,23,56,18,39,5,17,17,19,5,15,8,10,1,14,18,68,0.3035714285714285,0.5714285714285714,2018,6,14,5,9,3,5,6,6,1,3,4,3,0,4,4,21,0.5714285714285714,2.0,1,Stanford ,30,59,19,37,11,22,11,20,12,21,16,8,8,18,21,82,0.1864406779661017,0.8888888888888888,8,16,5,12,5,8,5,8,4,7,6,2,4,7,5,21,1.6666666666666667,2.0,,22
45,Stanford ,30,59,19,37,11,22,11,20,12,21,16,8,8,18,21,82,0.1864406779661017,0.8888888888888888,2018,8,16,5,12,5,8,5,8,4,7,6,2,4,7,5,21,1.6666666666666667,2.0,0,Gonzaga ,23,56,18,39,5,17,17,19,5,15,8,10,1,14,18,68,0.3035714285714285,0.5714285714285714,6,14,5,9,3,5,6,6,1,3,4,3,0,4,4,21,0.5714285714285714,2.0,,22
46,Grambling ,17,67,12,41,5,26,7,11,7,11,7,7,2,16,16,46,0.1044776119402985,0.4375,2018,8,20,5,14,3,8,4,6,2,4,4,2,1,5,4,20,0.2222222222222222,2.0,1,Baylor ,37,71,32,58,5,13,17,24,23,36,21,10,11,13,11,96,0.2394366197183098,1.6153846153846154,11,18,10,16,2,5,7,8,11,10,5,2,5,3,4,30,0.3888888888888889,2.0,,23
47,Baylor ,37,71,32,58,5,13,17,24,23,36,21,10,11,13,11,96,0.2394366197183098,1.6153846153846154,2018,11,18,10,16,2,5,7,8,11,10,5,2,5,3,4,30,0.3888888888888889,2.0,0,Grambling ,17,67,12,41,5,26,7,11,7,11,7,7,2,16,16,46,0.1044776119402985,0.4375,8,20,5,14,3,8,4,6,2,4,4,2,1,5,4,20,0.2222222222222222,2.0,,23
48,Liberty ,23,66,17,45,6,21,8,13,8,17,12,6,0,20,27,60,0.1212121212121212,0.6,2018,5,11,4,7,2,4,2,3,4,3,3,1,0,5,4,13,0.5,3.0,1,Tennessee ,37,60,33,48,4,12,22,36,10,28,24,10,4,17,16,100,0.3666666666666666,1.411764705882353,7,10,7,8,3,5,4,6,4,11,6,3,2,6,3,18,0.6666666666666666,5.0,,24
49,Tennessee ,37,60,33,48,4,12,22,36,10,28,24,10,4,17,16,100,0.3666666666666666,1.411764705882353,2018,7,10,7,8,3,5,4,6,4,11,6,3,2,6,3,18,0.6666666666666666,5.0,0,Liberty ,23,66,17,45,6,21,8,13,8,17,12,6,0,20,27,60,0.1212121212121212,0.6,5,11,4,7,2,4,2,3,4,3,3,1,0,5,4,13,0.5,3.0,,24
50,Little Rock ,17,47,14,36,3,11,12,14,2,15,8,2,0,16,22,49,0.2553191489361702,0.5,2018,4,10,4,10,3,6,7,8,0,3,6,2,0,5,4,13,1.4,3.0,1,Florida State ,35,60,32,51,3,9,18,29,14,27,12,9,2,11,14,91,0.3,1.0909090909090908,11,15,11,14,1,2,4,11,3,7,5,3,1,2,3,26,0.5,2.5,,25
51,Florida State ,35,60,32,51,3,9,18,29,14,27,12,9,2,11,14,91,0.3,1.0909090909090908,2018,11,15,11,14,1,2,4,11,3,7,5,3,1,2,3,26,0.5,2.5,0,Little Rock ,17,47,14,36,3,11,12,14,2,15,8,2,0,16,22,49,0.2553191489361702,0.5,4,10,4,10,3,6,7,8,0,3,6,2,0,5,4,13,1.4,3.0,,25
52,Louisville ,27,70,23,50,4,20,5,7,13,20,7,7,0,11,22,63,0.0714285714285714,0.6363636363636364,2018,7,18,7,15,3,9,3,3,5,5,3,4,0,4,5,18,0.1764705882352941,3.0,1,Mississippi State ,25,62,21,47,4,15,19,25,15,27,9,4,4,15,14,73,0.3064516129032258,0.6,11,21,9,16,2,5,7,9,13,12,4,1,3,5,5,25,0.625,1.3333333333333333,,26
53,Mississippi State ,25,62,21,47,4,15,19,25,15,27,9,4,4,15,14,73,0.3064516129032258,0.6,2018,11,21,9,16,2,5,7,9,13,12,4,1,3,5,5,25,0.625,1.3333333333333333,0,Louisville ,27,70,23,50,4,20,5,7,13,20,7,7,0,11,22,63,0.0714285714285714,0.6363636363636364,7,18,7,15,3,9,3,3,5,5,3,4,0,4,5,18,0.1764705882352941,3.0,,26
54,Maine ,20,55,17,36,3,19,11,14,2,7,6,8,2,11,12,54,0.2,0.5454545454545454,2018,5,13,5,9,2,6,4,4,1,3,3,2,1,3,3,16,0.3333333333333333,3.0,1,Texas ,34,55,28,47,6,8,9,10,9,33,19,4,2,20,15,83,0.1636363636363636,0.95,7,10,7,10,2,3,3,3,2,7,4,2,1,3,2,17,0.6666666666666666,2.0,,27
55,Texas ,34,55,28,47,6,8,9,10,9,33,19,4,2,20,15,83,0.1636363636363636,0.95,2018,7,10,7,10,2,3,3,3,2,7,4,2,1,3,2,17,0.6666666666666666,2.0,0,Maine ,20,55,17,36,3,19,11,14,2,7,6,8,2,11,12,54,0.2,0.5454545454545454,5,13,5,9,2,6,4,4,1,3,3,2,1,3,3,16,0.3333333333333333,3.0,,27
56,Marquette ,28,68,22,46,6,22,10,17,12,14,15,7,1,7,14,72,0.1470588235294117,2.142857142857143,2018,13,23,10,16,3,7,5,7,6,4,5,2,0,2,4,34,1.3333333333333333,5.0,1,Louisville ,40,63,36,50,4,13,6,7,10,32,27,3,6,15,15,90,0.0952380952380952,1.8,12,16,12,16,3,6,3,3,3,11,7,1,1,4,4,24,0.25,7.0,,28
57,Louisville ,40,63,36,50,4,13,6,7,10,32,27,3,6,15,15,90,0.0952380952380952,1.8,2018,12,16,12,16,3,6,3,3,3,11,7,1,1,4,4,24,0.25,7.0,0,Marquette ,28,68,22,46,6,22,10,17,12,14,15,7,1,7,14,72,0.1470588235294117,2.142857142857143,13,23,10,16,3,7,5,7,6,4,5,2,0,2,4,34,1.3333333333333333,5.0,,28
58,Maryland ,22,59,22,54,0,5,16,23,10,20,7,8,4,13,25,60,0.2711864406779661,0.5384615384615384,2018,7,9,7,9,0,4,3,4,3,6,3,2,4,3,5,14,0.375,3.0,1,NC State ,25,56,18,42,7,14,17,27,11,26,12,7,2,14,16,74,0.3035714285714285,0.8571428571428571,7,14,5,11,2,7,5,10,4,10,4,3,1,4,5,21,0.625,3.0,,29
59,NC State ,25,56,18,42,7,14,17,27,11,26,12,7,2,14,16,74,0.3035714285714285,0.8571428571428571,2018,7,14,5,11,2,7,5,10,4,10,4,3,1,4,5,21,0.625,3.0,0,Maryland ,22,59,22,54,0,5,16,23,10,20,7,8,4,13,25,60,0.2711864406779661,0.5384615384615384,7,9,7,9,0,4,3,4,3,6,3,2,4,3,5,14,0.375,3.0,,29
60,Mercer ,21,66,17,53,4,13,17,22,15,18,11,9,3,9,19,63,0.2575757575757575,1.2222222222222223,2018,8,28,8,22,4,7,7,8,9,3,7,3,1,4,4,23,0.3333333333333333,0.25,1,Georgia ,24,53,23,50,1,3,19,23,12,31,18,4,2,16,20,68,0.3584905660377358,1.125,10,16,10,15,0,1,7,8,6,14,4,1,2,4,4,23,0.5833333333333334,2.0,,30
61,Georgia ,24,53,23,50,1,3,19,23,12,31,18,4,2,16,20,68,0.3584905660377358,1.125,2018,10,16,10,15,0,1,7,8,6,14,4,1,2,4,4,23,0.5833333333333334,2.0,0,Mercer ,21,66,17,53,4,13,17,22,15,18,11,9,3,9,19,63,0.2575757575757575,1.2222222222222223,8,28,8,22,4,7,7,8,9,3,7,3,1,4,4,23,0.3333333333333333,0.25,,30
