,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,GAME_ID
10,Buffalo ,8,13,6,9,15,15,2,13,19,0.1176470588235294,1.1538461538461535,2018,0.35294117647058826,0.38636363636363635,0.2916666666666667,0.6153846153846154,7,11,3,4,6,6,2,5,5,29,0.3181818181818182,2.0,0.4090909090909091,0.45454545454545453,0.36363636363636365,0.6363636363636364,South Carolina ,18,20,14,29,21,6,5,26,16,0.3050847457627119,0.8076923076923077,0.5084745762711864,0.5370370370370371,0.2,0.9,6,7,4,9,9,2,3,8,4,20,0.7142857142857143,1.5,0.75,0.75,0.3333333333333333,1.0,5
11,South Carolina ,18,20,14,29,21,6,5,26,16,0.3050847457627119,0.8076923076923077,2018,0.5084745762711864,0.5370370370370371,0.2,0.9,6,7,4,9,9,2,3,8,4,20,0.7142857142857143,1.5,0.75,0.75,0.3333333333333333,1.0,Buffalo ,8,13,6,9,15,15,2,13,19,0.1176470588235294,1.1538461538461535,0.35294117647058826,0.38636363636363635,0.2916666666666667,0.6153846153846154,7,11,3,4,6,6,2,5,5,29,0.3181818181818182,2.0,0.4090909090909091,0.45454545454545453,0.36363636363636365,0.6363636363636364,5
12,Buffalo ,22,24,11,19,17,6,4,12,13,0.3548387096774194,1.4166666666666667,2018,0.532258064516129,0.5428571428571428,0.5185185185185185,0.9166666666666666,7,8,5,5,8,2,2,3,4,36,1.3333333333333333,5.0,0.6666666666666666,1.0,0.5384615384615384,1.0,South Florida ,8,9,10,17,11,4,0,16,21,0.1269841269841269,0.6875,0.5079365079365079,0.625,0.30434782608695654,0.8888888888888888,6,6,5,6,3,2,0,4,5,28,0.375,1.0,0.5,1.0,0.4166666666666667,1.0,6
13,South Florida ,8,9,10,17,11,4,0,16,21,0.1269841269841269,0.6875,2018,0.5079365079365079,0.625,0.30434782608695654,0.8888888888888888,6,6,5,6,3,2,0,4,5,28,0.375,1.0,0.5,1.0,0.4166666666666667,1.0,Buffalo ,22,24,11,19,17,6,4,12,13,0.3548387096774194,1.4166666666666667,0.532258064516129,0.5428571428571428,0.5185185185185185,0.9166666666666666,7,8,5,5,8,2,2,3,4,36,1.3333333333333333,5.0,0.6666666666666666,1.0,0.5384615384615384,1.0,6
14,Cal State Northridge ,2,3,9,19,23,6,7,16,15,0.0303030303030303,1.4375,2018,0.5303030303030303,0.5652173913043478,0.45,0.6666666666666666,1,2,4,9,9,3,4,4,3,25,0.0714285714285714,9.0,0.7857142857142857,0.7857142857142857,0.6153846153846154,1.0,Notre Dame ,10,14,12,18,28,12,1,8,7,0.136986301369863,3.5,0.547945205479452,0.5535714285714286,0.5294117647058824,0.7142857142857143,5,6,4,6,7,4,1,1,1,30,0.25,5.0,0.6,0.6875,0.75,1.0,7
15,Notre Dame ,10,14,12,18,28,12,1,8,7,0.136986301369863,3.5,2018,0.547945205479452,0.5535714285714286,0.5294117647058824,0.7142857142857143,5,6,4,6,7,4,1,1,1,30,0.25,5.0,0.6,0.6875,0.75,1.0,Cal State Northridge ,2,3,9,19,23,6,7,16,15,0.0303030303030303,1.4375,0.5303030303030303,0.5652173913043478,0.45,0.6666666666666666,1,2,4,9,9,3,4,4,3,25,0.0714285714285714,9.0,0.7857142857142857,0.7857142857142857,0.6153846153846154,1.0,7
16,Central Michigan ,15,17,13,21,13,2,1,11,14,0.2678571428571428,1.181818181818182,2018,0.5,0.5675675675675675,0.3684210526315789,0.8823529411764706,7,9,6,6,8,1,1,5,5,25,0.5384615384615384,3.0,0.6923076923076923,0.75,0.75,1.0,Louisiana State ,11,12,13,13,10,6,3,2,15,0.1594202898550724,5.0,0.4057971014492754,0.4727272727272727,0.14285714285714285,0.9166666666666666,7,8,7,7,6,3,1,1,3,24,0.3181818181818182,3.0,0.7,0.7,0.3333333333333333,1.0,8
17,Louisiana State ,11,12,13,13,10,6,3,2,15,0.1594202898550724,5.0,2018,0.4057971014492754,0.4727272727272727,0.14285714285714285,0.9166666666666666,7,8,7,7,6,3,1,1,3,24,0.3181818181818182,3.0,0.7,0.7,0.3333333333333333,1.0,Central Michigan ,15,17,13,21,13,2,1,11,14,0.2678571428571428,1.181818181818182,0.5,0.5675675675675675,0.3684210526315789,0.8823529411764706,7,9,6,6,8,1,1,5,5,25,0.5384615384615384,3.0,0.6923076923076923,0.75,0.75,1.0,8
18,Central Michigan ,25,27,11,29,14,5,3,11,17,0.4032258064516129,1.2727272727272727,2018,0.45161290322580644,0.4,0.5185185185185185,0.9259259259259259,10,10,4,9,5,2,2,6,5,28,0.6666666666666666,1.5,0.5454545454545454,0.5,0.75,1.0,Ohio State ,9,14,14,19,14,9,5,12,19,0.1232876712328767,1.1666666666666667,0.3972602739726027,0.4090909090909091,0.3793103448275862,0.6428571428571429,3,4,9,6,5,2,3,3,3,28,0.3,3.0,0.5833333333333334,0.5833333333333334,0.5,1.0,9
19,Ohio State ,9,14,14,19,14,9,5,12,19,0.1232876712328767,1.1666666666666667,2018,0.3972602739726027,0.4090909090909091,0.3793103448275862,0.6428571428571429,3,4,9,6,5,2,3,3,3,28,0.3,3.0,0.5833333333333334,0.5833333333333334,0.5,1.0,Central Michigan ,25,27,11,29,14,5,3,11,17,0.4032258064516129,1.2727272727272727,0.45161290322580644,0.4,0.5185185185185185,0.9259259259259259,10,10,4,9,5,2,2,6,5,28,0.6666666666666666,1.5,0.5454545454545454,0.5,0.75,1.0,9
20,Central Michigan ,6,9,17,22,17,7,4,7,9,0.0769230769230769,2.4285714285714284,2018,0.358974358974359,0.4117647058823529,0.25925925925925924,0.6666666666666666,3,4,7,8,6,3,3,3,3,23,0.1818181818181818,3.0,0.5263157894736842,0.5882352941176471,0.3333333333333333,1.0,Oregon ,6,10,15,28,19,3,11,8,13,0.0869565217391304,2.375,0.4927536231884058,0.5813953488372093,0.34615384615384615,0.6,2,4,5,10,10,1,6,3,2,23,0.1428571428571428,5.0,0.75,1.0,0.6666666666666666,1.0,10
21,Oregon ,6,10,15,28,19,3,11,8,13,0.0869565217391304,2.375,2018,0.4927536231884058,0.5813953488372093,0.34615384615384615,0.6,2,4,5,10,10,1,6,3,2,23,0.1428571428571428,5.0,0.75,1.0,0.6666666666666666,1.0,Central Michigan ,6,9,17,22,17,7,4,7,9,0.0769230769230769,2.4285714285714284,0.358974358974359,0.4117647058823529,0.25925925925925924,0.6666666666666666,3,4,7,8,6,3,3,3,3,23,0.1818181818181818,3.0,0.5263157894736842,0.5882352941176471,0.3333333333333333,1.0,10
22,Creighton ,17,25,6,17,16,4,5,7,15,0.293103448275862,2.2857142857142856,2018,0.43103448275862066,0.47058823529411764,0.375,0.68,4,6,2,4,6,2,3,2,3,24,0.3333333333333333,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,Iowa ,15,17,7,25,17,2,3,14,20,0.2678571428571428,1.2142857142857142,0.4642857142857143,0.5227272727272727,0.25,0.8823529411764706,5,5,4,13,8,1,1,4,5,29,1.0,8.0,0.75,0.75,0.5,1.0,11
23,Iowa ,15,17,7,25,17,2,3,14,20,0.2678571428571428,1.2142857142857142,2018,0.4642857142857143,0.5227272727272727,0.25,0.8823529411764706,5,5,4,13,8,1,1,4,5,29,1.0,8.0,0.75,0.75,0.5,1.0,Creighton ,17,25,6,17,16,4,5,7,15,0.293103448275862,2.2857142857142856,0.43103448275862066,0.47058823529411764,0.375,0.68,4,6,2,4,6,2,3,2,3,24,0.3333333333333333,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,11
24,Creighton ,11,12,5,19,18,1,1,18,21,0.2156862745098039,1.0,2018,0.4117647058823529,0.4166666666666667,0.4074074074074074,0.9166666666666666,4,4,1,3,7,1,1,5,5,20,0.3333333333333333,1.4,0.6666666666666666,0.5,0.6666666666666666,1.0,UCLA ,18,23,15,22,15,12,4,10,19,0.2903225806451613,1.5,0.4838709677419355,0.5116279069767442,0.42105263157894735,0.782608695652174,9,10,4,5,8,5,1,2,4,21,1.2857142857142858,4.0,0.8571428571428571,0.8571428571428571,0.5,0.9,12
25,UCLA ,18,23,15,22,15,12,4,10,19,0.2903225806451613,1.5,2018,0.4838709677419355,0.5116279069767442,0.42105263157894735,0.782608695652174,9,10,4,5,8,5,1,2,4,21,1.2857142857142858,4.0,0.8571428571428571,0.8571428571428571,0.5,0.9,Creighton ,11,12,5,19,18,1,1,18,21,0.2156862745098039,1.0,0.4117647058823529,0.4166666666666667,0.4074074074074074,0.9166666666666666,4,4,1,3,7,1,1,5,5,20,0.3333333333333333,1.4,0.6666666666666666,0.5,0.6666666666666666,1.0,12
26,Dayton ,18,23,14,27,5,4,3,19,18,0.3157894736842105,0.2631578947368421,2018,0.38596491228070173,0.4318181818181818,0.23076923076923078,0.782608695652174,8,8,6,7,4,2,2,4,3,19,0.5333333333333333,1.0,1.0,1.0,0.25,1.0,Marquette ,12,18,14,21,15,11,2,10,20,0.1764705882352941,1.5,0.4411764705882353,0.42857142857142855,0.46153846153846156,0.6666666666666666,4,5,5,8,5,5,1,3,4,32,0.3076923076923077,2.5,0.6363636363636364,0.7142857142857143,0.6666666666666666,1.0,13
27,Marquette ,12,18,14,21,15,11,2,10,20,0.1764705882352941,1.5,2018,0.4411764705882353,0.42857142857142855,0.46153846153846156,0.6666666666666666,4,5,5,8,5,5,1,3,4,32,0.3076923076923077,2.5,0.6363636363636364,0.7142857142857143,0.6666666666666666,1.0,Dayton ,18,23,14,27,5,4,3,19,18,0.3157894736842105,0.2631578947368421,0.38596491228070173,0.4318181818181818,0.23076923076923078,0.782608695652174,8,8,6,7,4,2,2,4,3,19,0.5333333333333333,1.0,1.0,1.0,0.25,1.0,13
28,DePaul ,7,9,7,23,24,3,2,6,21,0.1044776119402985,4.0,2018,0.44776119402985076,0.5,0.3870967741935484,0.7777777777777778,2,2,2,6,7,1,1,2,4,14,0.2857142857142857,7.0,0.7142857142857143,0.8333333333333334,0.6666666666666666,1.0,Texas A&M ,21,29,17,26,7,4,2,9,9,0.3181818181818182,0.7777777777777778,0.3939393939393939,0.37254901960784315,0.4666666666666667,0.7241379310344828,6,7,9,10,3,2,1,3,3,37,1.0,2.0,0.7272727272727273,0.8,0.7777777777777778,1.0,14
29,Texas A&M ,21,29,17,26,7,4,2,9,9,0.3181818181818182,0.7777777777777778,2018,0.3939393939393939,0.37254901960784315,0.4666666666666667,0.7241379310344828,6,7,9,10,3,2,1,3,3,37,1.0,2.0,0.7272727272727273,0.8,0.7777777777777778,1.0,DePaul ,7,9,7,23,24,3,2,6,21,0.1044776119402985,4.0,0.44776119402985076,0.5,0.3870967741935484,0.7777777777777778,2,2,2,6,7,1,1,2,4,14,0.2857142857142857,7.0,0.7142857142857143,0.8333333333333334,0.6666666666666666,1.0,14
30,Drake ,2,3,7,20,29,4,2,18,17,0.032258064516129,1.6111111111111112,2018,0.532258064516129,0.6578947368421053,0.3333333333333333,0.6666666666666666,1,2,4,5,10,1,1,3,3,19,0.2,3.333333333333333,0.625,0.7142857142857143,1.0,0.5,Texas A&M ,10,11,9,18,19,14,0,10,6,0.1470588235294117,1.9,0.5294117647058824,0.5576923076923077,0.4375,0.9090909090909091,7,8,5,8,11,6,0,3,2,26,0.3888888888888889,5.5,0.7142857142857143,0.7142857142857143,0.5714285714285714,1.0,15
31,Texas A&M ,10,11,9,18,19,14,0,10,6,0.1470588235294117,1.9,2018,0.5294117647058824,0.5576923076923077,0.4375,0.9090909090909091,7,8,5,8,11,6,0,3,2,26,0.3888888888888889,5.5,0.7142857142857143,0.7142857142857143,0.5714285714285714,1.0,Drake ,2,3,7,20,29,4,2,18,17,0.032258064516129,1.6111111111111112,0.532258064516129,0.6578947368421053,0.3333333333333333,0.6666666666666666,1,2,4,5,10,1,1,3,3,19,0.2,3.333333333333333,0.625,0.7142857142857143,1.0,0.5,15
32,Duke ,8,10,8,19,12,11,2,10,12,0.1333333333333333,1.2,2018,0.38333333333333336,0.4090909090909091,0.3125,0.8,4,6,4,6,4,7,1,4,4,22,0.2352941176470588,4.0,0.5294117647058824,0.5294117647058824,0.6666666666666666,1.0,Connecticut ,8,16,11,25,18,8,7,11,11,0.1290322580645161,1.6363636363636365,0.45161290322580644,0.4878048780487805,0.38095238095238093,0.5,4,8,3,8,6,4,2,4,3,16,0.3076923076923077,4.0,0.6363636363636364,1.0,0.5,1.0,16
33,Connecticut ,8,16,11,25,18,8,7,11,11,0.1290322580645161,1.6363636363636365,2018,0.45161290322580644,0.4878048780487805,0.38095238095238093,0.5,4,8,3,8,6,4,2,4,3,16,0.3076923076923077,4.0,0.6363636363636364,1.0,0.5,1.0,Duke ,8,10,8,19,12,11,2,10,12,0.1333333333333333,1.2,0.38333333333333336,0.4090909090909091,0.3125,0.8,4,6,4,6,4,7,1,4,4,22,0.2352941176470588,4.0,0.5294117647058824,0.5294117647058824,0.6666666666666666,1.0,16
34,Duke ,12,15,6,32,10,11,3,21,11,0.24,0.4761904761904761,2018,0.5,0.5384615384615384,0.36363636363636365,0.8,4,4,3,8,6,7,1,5,3,16,0.5,1.2,0.625,0.75,0.5,1.0,Georgia ,7,14,17,17,8,10,7,16,15,0.1029411764705882,0.5,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.5,1,4,6,8,3,3,3,4,4,11,0.1111111111111111,2.0,0.5,0.5,0.0,0.5,17
35,Georgia ,7,14,17,17,8,10,7,16,15,0.1029411764705882,0.5,2018,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.5,1,4,6,8,3,3,3,4,4,11,0.1111111111111111,2.0,0.5,0.5,0.0,0.5,Duke ,12,15,6,32,10,11,3,21,11,0.24,0.4761904761904761,0.5,0.5384615384615384,0.36363636363636365,0.8,4,4,3,8,6,7,1,5,3,16,0.5,1.2,0.625,0.75,0.5,1.0,17
36,Elon ,6,16,7,23,8,7,3,17,16,0.1176470588235294,0.4705882352941176,2018,0.23529411764705882,0.2,0.3125,0.375,1,2,1,6,4,2,0,3,4,12,0.2,1.3333333333333333,0.4,0.3333333333333333,0.75,0.5,NC State ,11,17,7,34,10,8,5,13,16,0.2115384615384615,0.7692307692307693,0.4230769230769231,0.42857142857142855,0.4117647058823529,0.6470588235294118,4,5,3,9,3,2,4,5,3,13,1.5,1.0,1.0,1.0,1.0,0.8,18
37,NC State ,11,17,7,34,10,8,5,13,16,0.2115384615384615,0.7692307692307693,2018,0.4230769230769231,0.42857142857142855,0.4117647058823529,0.6470588235294118,4,5,3,9,3,2,4,5,3,13,1.5,1.0,1.0,1.0,1.0,0.8,Elon ,6,16,7,23,8,7,3,17,16,0.1176470588235294,0.4705882352941176,0.23529411764705882,0.2,0.3125,0.375,1,2,1,6,4,2,0,3,4,12,0.2,1.3333333333333333,0.4,0.3333333333333333,0.75,0.5,18
38,Florida Gulf Coast ,23,37,5,21,12,5,0,9,26,0.4509803921568627,1.3333333333333333,2018,0.49019607843137253,0.5294117647058824,0.4117647058823529,0.6216216216216216,5,7,3,6,4,1,0,3,5,12,0.8333333333333334,2.0,0.8,1.0,1.0,1.0,Missouri ,24,28,7,27,13,6,3,15,30,0.4615384615384615,0.8666666666666667,0.40384615384615385,0.6071428571428571,0.16666666666666666,0.8571428571428571,14,16,1,8,2,2,3,5,5,35,1.0,1.0,0.625,0.8181818181818182,0.25,1.0,19
39,Missouri ,24,28,7,27,13,6,3,15,30,0.4615384615384615,0.8666666666666667,2018,0.40384615384615385,0.6071428571428571,0.16666666666666666,0.8571428571428571,14,16,1,8,2,2,3,5,5,35,1.0,1.0,0.625,0.8181818181818182,0.25,1.0,Florida Gulf Coast ,23,37,5,21,12,5,0,9,26,0.4509803921568627,1.3333333333333333,0.49019607843137253,0.5294117647058824,0.4117647058823529,0.6216216216216216,5,7,3,6,4,1,0,3,5,12,0.8333333333333334,2.0,0.8,1.0,1.0,1.0,19
40,Florida Gulf Coast ,5,6,3,10,18,6,1,10,22,0.0769230769230769,1.8,2018,0.36923076923076925,0.3888888888888889,0.3617021276595745,0.8333333333333334,2,2,1,3,3,2,1,4,4,10,0.25,1.0,0.42857142857142855,0.5,0.5,1.0,Stanford ,19,26,15,36,17,7,7,18,14,0.3114754098360656,0.9444444444444444,0.5081967213114754,0.5,0.5294117647058824,0.7307692307692307,5,6,4,9,6,3,2,3,3,28,1.25,6.0,0.5714285714285714,0.6,0.5714285714285714,1.0,20
41,Stanford ,19,26,15,36,17,7,7,18,14,0.3114754098360656,0.9444444444444444,2018,0.5081967213114754,0.5,0.5294117647058824,0.7307692307692307,5,6,4,9,6,3,2,3,3,28,1.25,6.0,0.5714285714285714,0.6,0.5714285714285714,1.0,Florida Gulf Coast ,5,6,3,10,18,6,1,10,22,0.0769230769230769,1.8,0.36923076923076925,0.3888888888888889,0.3617021276595745,0.8333333333333334,2,2,1,3,3,2,1,4,4,10,0.25,1.0,0.42857142857142855,0.5,0.5,1.0,20
42,George Washington ,4,6,6,16,8,9,1,10,16,0.0606060606060606,0.8,2018,0.2727272727272727,0.3023255813953488,0.21739130434782608,0.6666666666666666,2,4,2,5,2,3,1,4,5,14,0.1666666666666666,0.5,0.5,0.5,0.25,1.0,Ohio State ,16,21,11,35,20,7,6,14,10,0.2711864406779661,1.4285714285714286,0.559322033898305,0.6222222222222222,0.35714285714285715,0.7619047619047619,4,5,6,7,7,2,4,3,2,22,0.8,3.5,0.75,0.75,0.3333333333333333,1.0,21
43,Ohio State ,16,21,11,35,20,7,6,14,10,0.2711864406779661,1.4285714285714286,2018,0.559322033898305,0.6222222222222222,0.35714285714285715,0.7619047619047619,4,5,6,7,7,2,4,3,2,22,0.8,3.5,0.75,0.75,0.3333333333333333,1.0,George Washington ,4,6,6,16,8,9,1,10,16,0.0606060606060606,0.8,0.2727272727272727,0.3023255813953488,0.21739130434782608,0.6666666666666666,2,4,2,5,2,3,1,4,5,14,0.1666666666666666,0.5,0.5,0.5,0.25,1.0,21
44,Gonzaga ,17,19,5,15,8,10,1,14,18,0.3035714285714285,0.5714285714285714,2018,0.4107142857142857,0.46153846153846156,0.29411764705882354,0.8947368421052632,6,6,1,3,4,3,0,4,4,21,0.5714285714285714,2.0,0.7142857142857143,0.8333333333333334,0.6,1.0,Stanford ,11,20,12,21,16,8,8,18,21,0.1864406779661017,0.8888888888888888,0.5084745762711864,0.5135135135135135,0.5,0.55,5,8,4,7,6,2,4,7,5,21,1.6666666666666667,2.0,0.75,1.0,0.625,0.625,22
45,Stanford ,11,20,12,21,16,8,8,18,21,0.1864406779661017,0.8888888888888888,2018,0.5084745762711864,0.5135135135135135,0.5,0.55,5,8,4,7,6,2,4,7,5,21,1.6666666666666667,2.0,0.75,1.0,0.625,0.625,Gonzaga ,17,19,5,15,8,10,1,14,18,0.3035714285714285,0.5714285714285714,0.4107142857142857,0.46153846153846156,0.29411764705882354,0.8947368421052632,6,6,1,3,4,3,0,4,4,21,0.5714285714285714,2.0,0.7142857142857143,0.8333333333333334,0.6,1.0,22
46,Grambling ,7,11,7,11,7,7,2,16,16,0.1044776119402985,0.4375,2018,0.2537313432835821,0.2926829268292683,0.19230769230769232,0.6363636363636364,4,6,2,4,4,2,1,5,4,20,0.2222222222222222,2.0,1.0,1.0,0.42857142857142855,1.0,Baylor ,17,24,23,36,21,10,11,13,11,0.2394366197183098,1.6153846153846154,0.5211267605633803,0.5517241379310345,0.38461538461538464,0.7083333333333334,7,8,11,10,5,2,5,3,4,30,0.3888888888888889,2.0,0.7142857142857143,0.6428571428571429,1.0,1.0,23
47,Baylor ,17,24,23,36,21,10,11,13,11,0.2394366197183098,1.6153846153846154,2018,0.5211267605633803,0.5517241379310345,0.38461538461538464,0.7083333333333334,7,8,11,10,5,2,5,3,4,30,0.3888888888888889,2.0,0.7142857142857143,0.6428571428571429,1.0,1.0,Grambling ,7,11,7,11,7,7,2,16,16,0.1044776119402985,0.4375,0.2537313432835821,0.2926829268292683,0.19230769230769232,0.6363636363636364,4,6,2,4,4,2,1,5,4,20,0.2222222222222222,2.0,1.0,1.0,0.42857142857142855,1.0,23
48,Liberty ,8,13,8,17,12,6,0,20,27,0.1212121212121212,0.6,2018,0.3484848484848485,0.37777777777777777,0.2857142857142857,0.6153846153846154,2,3,4,3,3,1,0,5,4,13,0.5,3.0,1.0,1.0,1.0,1.0,Tennessee ,22,36,10,28,24,10,4,17,16,0.3666666666666666,1.411764705882353,0.6166666666666667,0.6875,0.3333333333333333,0.6111111111111112,4,6,4,11,6,3,2,6,3,18,0.6666666666666666,5.0,0.7,1.0,0.6,1.0,24
