,TEAM,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,index_OPP,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,WIN,GAME_ID
793,Notre Dame ,32,61,28,49,4,12,11,13,14,34,17,6,7,16,15,79,0.180327868852459,1.0625,2010,7,12,6,12,1,4,4,4,3,7,6,4,5,3,2,15,0.4444444444444444,2.0,534,Ohio State ,32,69,27,49,5,20,15,16,4,25,14,11,1,12,16,84,0.217391304347826,1.1666666666666667,11,25,10,16,3,10,7,7,1,9,6,2,1,4,4,30,0.5,2.0,False,663
794,South Florida ,20,53,12,36,8,17,16,22,12,18,11,5,2,11,17,64,0.3018867924528302,1.0,2010,6,18,4,11,3,7,5,7,9,8,8,2,1,4,4,20,0.5,2.0,533,Arizona State ,25,45,17,29,8,16,16,25,7,21,19,13,6,17,19,74,0.3555555555555555,1.1176470588235294,6,11,5,8,5,9,6,7,3,4,6,3,1,4,4,23,1.0,2.0,False,663
795,Missouri ,24,55,16,31,8,24,10,12,12,23,10,3,5,14,21,66,0.1818181818181818,0.7142857142857143,2010,7,14,5,10,4,8,6,7,5,7,3,2,1,5,5,16,0.8571428571428571,2.0,532,Ohio ,19,51,15,35,4,16,13,21,11,15,11,8,6,18,18,55,0.2549019607843137,0.6111111111111112,6,13,6,13,2,7,5,9,1,4,3,3,2,5,5,17,0.4444444444444444,1.0,True,663
796,Stanford ,28,59,16,33,12,26,8,10,7,24,22,3,7,11,12,76,0.135593220338983,2.0,2010,10,17,5,9,5,9,2,2,3,8,4,0,2,3,2,27,0.4,4.0,531,Connecticut ,25,61,17,38,8,23,5,7,10,23,13,10,6,12,10,63,0.081967213114754,1.0833333333333333,6,15,4,10,3,8,2,3,3,12,7,4,4,4,3,15,0.2,2.333333333333333,True,663
797,Notre Dame ,29,65,23,44,6,21,11,15,7,22,11,7,1,4,12,75,0.1692307692307692,2.75,2010,9,18,8,13,3,8,6,6,4,9,6,3,0,2,3,25,0.4444444444444444,3.0,530,Notre Dame ,21,63,18,52,3,11,8,8,15,22,11,5,4,17,9,53,0.1269841269841269,0.6470588235294118,7,18,7,15,3,3,4,4,5,8,7,1,2,6,2,14,0.2222222222222222,1.4,True,663
798,Stanford ,23,62,19,48,4,14,3,5,12,24,13,8,5,15,16,53,0.0483870967741935,0.8666666666666667,2010,7,19,7,16,1,3,1,2,9,5,3,2,2,6,3,14,0.0769230769230769,1.5,529,Baylor ,30,61,28,54,2,7,15,20,14,36,23,5,8,5,5,77,0.2459016393442623,4.6,7,13,7,13,2,4,3,4,3,5,8,1,1,0,1,17,1.0,0.0,False,663
799,South Carolina ,23,63,20,50,3,13,13,21,18,23,10,6,5,13,11,62,0.2063492063492063,0.7692307692307693,2010,7,15,6,13,1,4,3,8,8,11,4,2,3,6,3,18,0.3,1.0,528,Northwestern State ,14,59,8,26,6,33,2,2,4,15,12,2,1,8,11,36,0.0338983050847457,1.5,4,15,3,6,2,11,0,0,2,4,4,1,1,1,3,10,0.0,4.0,True,663
800,Syracuse ,26,60,18,40,8,20,4,5,7,14,8,5,0,9,15,64,0.0666666666666666,0.8888888888888888,2010,10,22,7,16,3,7,2,2,5,4,4,2,0,5,5,25,0.0909090909090909,1.0,527,South Carolina ,20,46,13,30,7,16,20,28,8,28,14,4,5,15,17,67,0.4347826086956521,0.9333333333333332,6,12,5,9,1,3,5,8,2,5,5,2,1,5,3,18,0.5,3.0,False,663
801,Connecticut ,33,53,21,30,12,23,16,20,5,19,30,8,4,10,9,94,0.3018867924528302,3.0,2010,10,13,9,13,9,12,11,13,4,5,7,3,2,3,3,29,1.0,6.0,526,North Carolina ,23,62,19,49,4,13,15,20,10,22,9,8,4,9,22,65,0.2419354838709677,1.0,5,15,4,11,2,5,6,6,6,7,5,3,3,3,5,15,0.75,5.0,True,663
802,Tennessee ,20,60,15,42,5,18,19,27,12,31,11,4,4,13,18,64,0.3166666666666666,0.8461538461538461,2010,9,18,6,13,3,5,9,12,4,11,4,1,2,5,4,28,0.75,3.0,525,Maryland ,26,53,21,36,5,17,18,21,12,28,16,7,3,20,7,75,0.3396226415094339,0.8,7,10,7,10,2,5,8,9,6,6,5,2,1,6,3,22,0.8,1.0,False,663
