,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,RB_O2D,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,RB_O2D_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,RB_O2D_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,RB_O2D_MAX_OPP,WIN,GAME_ID
20,Florida State ,10,15,11,16,10,2,3,17,17,50,0.1587301587301587,0.5882352941176471,2010,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6875,3,4,4,4,6,1,2,5,5,15,0.2727272727272727,1.2,0.42857142857142855,0.42857142857142855,0.2,0.75,1.0,Connecticut ,20,25,12,28,23,7,8,17,16,90,0.3333333333333333,1.3529411764705883,0.5333333333333333,0.5416666666666666,0.5,0.8,0.42857142857142855,4,8,5,9,7,2,4,4,2,22,0.3333333333333333,7.0,1.0,1.0,1.0,1.0,0.6,False,10
21,Connecticut ,20,25,12,28,23,7,8,17,16,90,0.3333333333333333,1.3529411764705883,2010,0.5333333333333333,0.5416666666666666,0.5,0.8,0.42857142857142855,4,8,5,9,7,2,4,4,2,22,0.3333333333333333,7.0,1.0,1.0,1.0,1.0,0.6,Florida State ,10,15,11,16,10,2,3,17,17,50,0.1587301587301587,0.5882352941176471,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6875,3,4,4,4,6,1,2,5,5,15,0.2727272727272727,1.2,0.42857142857142855,0.42857142857142855,0.2,0.75,1.0,True,10
22,Fresno State ,3,5,15,19,12,4,1,18,18,55,0.0491803278688524,0.6666666666666666,2010,0.3442622950819672,0.4074074074074074,0.29411764705882354,0.6,0.7894736842105263,1,1,4,3,3,4,0,6,5,13,0.3333333333333333,2.0,0.38461538461538464,0.5,0.4,1.0,4.0,Baylor ,12,19,10,24,22,6,2,12,12,69,0.2105263157894736,1.8333333333333333,0.49122807017543857,0.5192307692307693,0.2,0.631578947368421,0.4166666666666667,6,11,4,6,11,2,2,3,2,18,0.5,5.0,0.625,0.8333333333333334,0.5,1.0,inf,False,11
23,Baylor ,12,19,10,24,22,6,2,12,12,69,0.2105263157894736,1.8333333333333333,2010,0.49122807017543857,0.5192307692307693,0.2,0.631578947368421,0.4166666666666667,6,11,4,6,11,2,2,3,2,18,0.5,5.0,0.625,0.8333333333333334,0.5,1.0,inf,Fresno State ,3,5,15,19,12,4,1,18,18,55,0.0491803278688524,0.6666666666666666,0.3442622950819672,0.4074074074074074,0.29411764705882354,0.6,0.7894736842105263,1,1,4,3,3,4,0,6,5,13,0.3333333333333333,2.0,0.38461538461538464,0.5,0.4,1.0,4.0,True,11
24,Georgetown ,6,10,15,23,9,8,5,13,24,33,0.0857142857142857,0.6923076923076923,2010,0.17142857142857143,0.17307692307692307,0.16666666666666666,0.6,0.6521739130434783,5,6,3,5,1,2,2,3,4,9,0.3571428571428571,1.0,0.3,0.25,0.5,0.8333333333333334,inf,Baylor ,17,27,7,37,10,8,16,20,10,49,0.4047619047619047,0.5,0.38095238095238093,0.42105263157894735,0.0,0.6296296296296297,0.1891891891891892,6,7,3,13,5,3,14,6,3,11,0.75,4.0,0.6,0.75,0.0,1.0,0.42857142857142855,False,12
25,Baylor ,17,27,7,37,10,8,16,20,10,49,0.4047619047619047,0.5,2010,0.38095238095238093,0.42105263157894735,0.0,0.6296296296296297,0.1891891891891892,6,7,3,13,5,3,14,6,3,11,0.75,4.0,0.6,0.75,0.0,1.0,0.42857142857142855,Georgetown ,6,10,15,23,9,8,5,13,24,33,0.0857142857142857,0.6923076923076923,0.17142857142857143,0.17307692307692307,0.16666666666666666,0.6,0.6521739130434783,5,6,3,5,1,2,2,3,4,9,0.3571428571428571,1.0,0.3,0.25,0.5,0.8333333333333334,inf,True,12
26,Georgia ,24,37,22,29,13,2,7,12,21,74,0.3809523809523809,1.0833333333333333,2010,0.3333333333333333,0.35135135135135137,0.3076923076923077,0.6486486486486487,0.7586206896551724,11,13,9,7,4,1,2,3,5,27,0.75,2.0,0.625,0.6666666666666666,0.5,0.8461538461538461,3.0,Oklahoma State ,25,30,13,23,10,6,3,8,24,71,0.3787878787878788,1.25,0.30303030303030304,0.2857142857142857,0.35294117647058826,0.8333333333333334,0.5652173913043478,11,14,3,8,7,4,1,2,5,31,2.0,3.5,1.0,1.0,0.6,1.0,inf,True,13
27,Oklahoma State ,25,30,13,23,10,6,3,8,24,71,0.3787878787878788,1.25,2010,0.30303030303030304,0.2857142857142857,0.35294117647058826,0.8333333333333334,0.5652173913043478,11,14,3,8,7,4,1,2,5,31,2.0,3.5,1.0,1.0,0.6,1.0,inf,Georgia ,24,37,22,29,13,2,7,12,21,74,0.3809523809523809,1.0833333333333333,0.3333333333333333,0.35135135135135137,0.3076923076923077,0.6486486486486487,0.7586206896551724,11,13,9,7,4,1,2,3,5,27,0.75,2.0,0.625,0.6666666666666666,0.5,0.8461538461538461,3.0,False,13
28,Georgia ,8,13,8,23,4,5,6,12,17,36,0.135593220338983,0.3333333333333333,2010,0.2033898305084746,0.21621621621621623,0.18181818181818182,0.6153846153846154,0.34782608695652173,3,4,2,5,2,2,3,3,4,7,0.2727272727272727,1.0,0.2,0.3333333333333333,0.25,1.0,0.6666666666666666,Stanford ,12,15,16,33,19,4,3,11,10,73,0.1818181818181818,1.7272727272727273,0.42424242424242425,0.46938775510204084,0.29411764705882354,0.8,0.48484848484848486,5,5,5,10,5,2,2,2,2,17,0.4166666666666667,5.0,0.5,0.75,0.3333333333333333,1.0,1.5,False,14
29,Stanford ,12,15,16,33,19,4,3,11,10,73,0.1818181818181818,1.7272727272727273,2010,0.42424242424242425,0.46938775510204084,0.29411764705882354,0.8,0.48484848484848486,5,5,5,10,5,2,2,2,2,17,0.4166666666666667,5.0,0.5,0.75,0.3333333333333333,1.0,1.5,Georgia ,8,13,8,23,4,5,6,12,17,36,0.135593220338983,0.3333333333333333,0.2033898305084746,0.21621621621621623,0.18181818181818182,0.6153846153846154,0.34782608695652173,3,4,2,5,2,2,3,3,4,7,0.2727272727272727,1.0,0.2,0.3333333333333333,0.25,1.0,0.6666666666666666,True,14
